Country,GAI
Iceland,9.78
Netherlands,9.46
Norway,9.38
Sweden,9.18
Canada,9.02
Spain,8.77
Denmark,8.69
Ireland,8.41
Great Britain,8.34
New Zealand,8.23
Australia,8.03
Malta,8.01
Switzerland,8
Finland,7.96
Belgium,7.95
Uruguay,7.9
Nepal,7.84
Luxembourg,7.82
France,7.73
Germany,7.73
Puerto Rico,7.52
Andorra,7.48
United States,7.42
Brazil,7.22
Austria,7.2
Argentina,7.07
Italy,6.94
Portugal,6.87
Chile,6.83
Cape Verde,6.78
Mexico,6.5
Hong Kong,6.38
Costa Rica,6.35
Slovenia,6.21
Colombia,6.1
Philippines,6.06
South Africa,6.01
Czech Republic,5.87
Singapore,5.86
Thailand,5.81
Cuba,5.8
Taiwan,5.74
Bahrain,5.73
Israel,5.69
Northern Cyprus,5.59
Nicaragua,5.57
Venezuela,5.51
Ecuador,5.47
Greece,5.44
Mauritius,5.34
India,5.28
Panama,5.28
Japan,5.26
Estonia,5.25
Bolivia,5.24
El Salvador,5.22
Syria,5.22
Cyprus,5.16
Poland,5.15
Honduras,5.15
Peru,5.15
Hungary,5.08
Croatia,5.05
Vietnam,4.99
Dominican Republic,4.98
Cambodia,4.96
Namibia,4.93
Mozambique,4.92
Laos,4.89
Slovakia,4.82
Paraguay,4.74
Guatemala,4.71
Trinidad and Tobago,4.7
Suriname,4.64
South Korea,4.53
Barbados,4.43
Latvia,4.42
Lithuania,4.38
Guyana,4.36
Botswana,4.3
Algeria,4.28
Bulgaria,4.19
Bhutan,4.18
Lesotho,4.18
Belize,4.14
Myanmar,4.11
Romania,4.1
Bahamas,4.09
Macau SAR,4.01
Turkey,3.94
Grenada,3.88
Benin,3.88
Jamaica,3.83
Iraq,3.81
Saint Lucia,3.8
Libya,3.78
Serbia,3.71
Saint Kitts and Nevis,3.71
Bangladesh,3.69
China,3.69
Uzbekistan,3.68
Pakistan,3.66
Angola,3.66
Uganda,3.63
Lebanon,3.63
Kenya,3.62
Kuwait,3.61
Saudi Arabia,3.6
Dominica,3.56
Cote dâ€™Ivoire,3.55
Qatar,3.54
Montenegro,3.53
Kosovo,3.52
Antigua and Barbuda,3.52
Malaysia,3.48
Comoros,3.47
Yemen,3.41
Morocco,3.39
Tunisia,3.38
Belarus,3.38
Madagascar,3.36
Afghanistan,3.32
Haiti,3.32
Democratic Republic of the Congo,3.32
Burundi,3.3
Russia,3.28
Republic of the Congo,3.27
Tanzania,3.27
Sri Lanka,3.23
Palestine,3.2
Togo,3.15
Sao Tome and Principe,3.15
North Macedonia,3.13
Guinea,3.06
Saint Vincent and the Grenadines,3.04
Swaziland,3.02
Sudan,2.99
Sierra Leone,2.97
Niger,2.97
Burkina Faso,2.96
Georgia,2.94
Ukraine,2.91
Djibouti,2.89
Bosnia Herzegovina,2.87
Gabon,2.8
Cameroon,2.79
Indonesia,2.79
Rwanda,2.77
Mali,2.74
South Sudan,2.73
Chad,2.72
Mongolia,2.71
Kazakhstan,2.69
Ghana,2.68
Albania,2.65
Liberia,2.65
Central African Republic,2.62
Nagorno-Karabakh,2.54
Egypt,2.48
Gambia,2.44
Nigeria,2.18
Armenia,2.17
Kyrgyzstan,2.16
Iran,2.11
Zambia,2.04
Moldova,1.91
Jordan,1.87
Senegal,1.85
Mauritania,1.77
Malawi,1.75
Ethiopia,1.63
Somaliland,1.59
Zimbabwe,1.57
Tajikistan,1.56
Azerbaijan,1.42